Date,HSI,HSTECH,USDCNH,VHSI,BTC,HSI_norm,HSTECH_norm,USDCNH_norm,VHSI_norm,BTC_norm,Fused_macro,Fused_equal
2021-08-11,26660.160000,6820.680000,6.480000,19.980000,45564,,,,,,0.000000,0.000000
2021-08-12,26517.820000,6719.190000,6.470000,19.780000,44403,,,,,,0.000000,0.000000
2021-08-13,26391.620000,6589.540000,6.480000,19.790000,47809,,,,,,0.000000,0.000000
2021-08-16,26181.460000,6420.140000,6.470000,20.660000,45996,,,,,,0.000000,0.000000
2021-08-17,25745.870000,6218.890000,6.490000,22.890000,44692,,,,,,0.000000,0.000000
2021-08-18,25867.010000,6226.690000,6.480000,22.110000,44724,,,,,,0.000000,0.000000
2021-08-19,25316.330000,6044.030000,6.500000,24.720000,46756,,,,,,0.000000,0.000000
2021-08-20,24849.720000,5895.060000,6.500000,27.200000,49324,,,,,,0.000000,0.000000
2021-08-23,25109.590000,6021.270000,6.480000,25.330000,49540,,,,,,0.000000,0.000000
2021-08-24,25727.920000,6446.180000,6.470000,23.000000,47715,,,,,,0.000000,0.000000
2021-08-25,25693.950000,6458.970000,6.470000,23.100000,48995,,,,,,0.000000,0.000000
2021-08-26,25415.690000,6337.030000,6.480000,23.560000,46832,,,,,,0.000000,0.000000
2021-08-27,25407.890000,6322.280000,6.460000,23.910000,49064,,,,,,0.000000,0.000000
2021-08-30,25539.540000,6391.170000,6.460000,23.240000,46993,,,,,,0.000000,0.000000
2021-08-31,25878.990000,6607.780000,6.450000,22.130000,47130,,,,,,0.000000,0.000000
2021-09-01,26028.290000,6693.660000,6.450000,20.430000,48819,,,,,,0.000000,0.000000
2021-09-02,26090.430000,6801.470000,6.450000,19.760000,49274,,,,,,0.000000,0.000000
2021-09-03,25901.990000,6728.840000,6.430000,20.210000,49999,,,,,,0.000000,0.000000
2021-09-06,26163.630000,6778.490000,6.450000,19.530000,52672,,,,,,0.000000,0.000000
2021-09-07,26353.630000,6887.940000,6.460000,18.700000,46780,,,,,,0.000000,0.000000
2021-09-08,26320.930000,6871.280000,6.450000,19.710000,46061,,,,,,0.000000,0.000000
2021-09-09,25716.000000,6560.390000,6.450000,21.800000,46386,,,,,,0.000000,0.000000
2021-09-10,26205.910000,6748.360000,6.440000,19.730000,44843,,,,,,0.000000,0.000000
2021-09-13,25813.810000,6595.030000,6.440000,21.110000,44950,,,,,,0.000000,0.000000
2021-09-14,25502.230000,6502.350000,6.430000,22.040000,47078,,,,,,0.000000,0.000000
2021-09-15,25033.210000,6298.090000,6.430000,23.650000,48131,,,,,,0.000000,0.000000
2021-09-16,24667.850000,6232.930000,6.450000,25.180000,47748,,,,,,0.000000,0.000000
2021-09-17,24920.760000,6452.190000,6.470000,24.140000,47283,,,,,,0.000000,0.000000
2021-09-20,24099.140000,6271.370000,6.480000,29.840000,42871,,,,,,0.000000,0.000000
2021-09-21,24221.540000,6242.610000,6.480000,28.700000,40651,,,,,,0.000000,0.000000
2021-09-23,24510.980000,6300.490000,6.460000,26.550000,44869,,,,,,0.000000,0.000000
2021-09-24,24192.160000,6159.960000,6.460000,27.750000,42820,,,,,,0.000000,0.000000
2021-09-27,24208.780000,6103.890000,6.460000,26.540000,42173,,,,,,0.000000,0.000000
2021-09-28,24500.390000,6231.550000,6.460000,25.510000,41022,,,,,,0.000000,0.000000
2021-09-29,24663.500000,6179.430000,6.480000,24.990000,41537,,,,,,0.000000,0.000000
2021-09-30,24575.640000,6101.520000,6.450000,24.670000,43823,,,,,,0.000000,0.000000
2021-10-04,24036.370000,5973.800000,6.450000,27.510000,49227,,,,,,0.000000,0.000000
2021-10-05,24104.150000,5955.220000,6.450000,26.880000,51469,,,,,,0.000000,0.000000
2021-10-06,23966.490000,5866.150000,6.450000,26.530000,55323,,,,,,0.000000,0.000000
